epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4041,1.75736,4.76013,1.19547,0,0,0,0,1.36572,4.53693,1.03307,3.75e-05,3.75e-05,3.75e-05
2,41.06,1.31739,4.56184,1.01336,0.00643,0.01432,0.00536,0.0025,0.94758,4.46897,0.91364,7.96412e-05,7.96412e-05,7.96412e-05
3,45.9434,1.11046,4.28308,0.93443,0.01272,0.07031,0.01096,0.00572,0.90053,4.44904,0.88172,0.00012005,0.00012005,0.00012005
4,50.0795,1.01666,4.13731,0.90225,0.01822,0.22786,0.022,0.01202,0.80102,4.39778,0.85578,0.000158726,0.000158726,0.000158726
5,53.4982,0.93473,3.89328,0.87594,0.03492,0.33247,0.05086,0.02646,0.81721,4.3521,0.84877,0.00019567,0.00019567,0.00019567
6,56.6404,0.93471,3.68972,0.87108,0.03405,0.38108,0.07052,0.03936,0.81733,4.25959,0.84237,0.000230881,0.000230881,0.000230881
7,61.3603,0.90104,3.38994,0.86316,0.04011,0.40538,0.11206,0.06191,0.8804,4.1479,0.84696,0.00026436,0.00026436,0.00026436
8,64.4532,0.96734,3.15867,0.87433,0.03972,0.45399,0.14593,0.09006,0.84758,4.04058,0.84335,0.000296106,0.000296106,0.000296106
9,67.7774,0.9071,2.91306,0.86336,0.05703,0.52648,0.21044,0.12797,0.82904,3.85869,0.84194,0.00032612,0.00032612,0.00032612
10,70.9354,0.93583,2.67539,0.87172,0.07267,0.60677,0.27396,0.19871,0.77545,3.69215,0.83912,0.000354401,0.000354401,0.000354401
11,75.4601,0.91693,2.53516,0.86253,0.08051,0.66493,0.30853,0.2184,0.86428,3.55154,0.84824,0.00038095,0.00038095,0.00038095
12,78.9061,0.87754,2.24477,0.8603,0.09729,0.75304,0.31839,0.24256,0.78233,3.39706,0.83898,0.000405766,0.000405766,0.000405766
13,81.8606,0.83061,2.05521,0.84819,0.1006,0.77431,0.31612,0.24416,0.80935,3.33858,0.84287,0.00042885,0.00042885,0.00042885
14,84.8851,0.83167,1.96699,0.84663,0.10626,0.82856,0.33002,0.25094,0.82033,3.15082,0.84024,0.000450201,0.000450201,0.000450201
15,89.6076,0.81878,1.83629,0.84572,0.11832,0.88715,0.34817,0.26784,0.87611,2.83136,0.84812,0.00045175,0.00045175,0.00045175
16,92.7772,0.79983,1.77703,0.84083,0.45225,0.41712,0.35011,0.2842,0.73539,2.49857,0.83191,0.000439375,0.000439375,0.000439375
