epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.654,1.15551,3.42538,1.09751,0.50163,0.51256,0.47292,0.35642,0.83608,3.84676,0.94434,8.75e-05,8.75e-05,8.75e-05
2,50.5144,0.83315,1.03839,0.93283,0.64535,0.74487,0.74889,0.58693,0.78966,1.20531,0.93393,0.000180353,0.000180353,0.000180353
3,63.9744,0.83605,0.75509,0.92198,0.51068,0.78605,0.5264,0.40788,0.82313,3.22947,0.93878,0.000272278,0.000272278,0.000272278
4,76.1696,0.79314,0.66093,0.91839,0.78155,0.87124,0.85289,0.68836,0.77079,1.47283,0.94511,0.000363274,0.000363274,0.000363274
5,88.6736,0.75873,0.57757,0.90695,0.85438,0.87451,0.92515,0.75166,0.7396,0.54132,0.93466,0.000453342,0.000453342,0.000453342
6,103.191,0.74819,0.55209,0.90745,0.86494,0.88083,0.94254,0.78452,0.69302,0.52639,0.91852,0.000542483,0.000542483,0.000542483
7,115.882,0.75502,0.56152,0.90128,0.88612,0.90115,0.9188,0.74733,0.72429,0.5581,0.93062,0.000606437,0.000606437,0.000606437
8,128.4,0.74989,0.51986,0.8994,0.92945,0.92023,0.95186,0.78376,0.6788,0.49418,0.90942,0.000603344,0.000603344,0.000603344
9,141.543,0.73074,0.49973,0.89456,0.93888,0.92519,0.9493,0.79015,0.6647,0.43178,0.90383,0.00060025,0.00060025,0.00060025
10,154.603,0.7133,0.464,0.89867,0.96682,0.93152,0.95187,0.78843,0.71956,0.40403,0.91738,0.000597156,0.000597156,0.000597156
11,167.272,0.70795,0.44068,0.89278,0.97297,0.92834,0.9617,0.80408,0.66569,0.38737,0.90534,0.000594062,0.000594062,0.000594062
12,180.348,0.73634,0.45774,0.8952,0.9599,0.9156,0.94819,0.78567,0.68997,0.41162,0.93168,0.000590969,0.000590969,0.000590969
13,192.48,0.70938,0.43802,0.89547,0.86982,0.90313,0.90174,0.7572,0.68584,0.44936,0.91326,0.000587875,0.000587875,0.000587875
