epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1689,1.44447,4.54235,1.20016,0.00144,0.05801,0.006,0.00311,0.76635,4.29665,0.88579,5.625e-05,5.625e-05,5.625e-05
2,30.3453,1.08135,4.11045,0.99569,0.01141,0.1785,0.0301,0.02314,0.79415,4.19702,0.86189,0.000118162,0.000118162,0.000118162
3,33.3522,0.99893,3.82892,0.94877,0.03433,0.38078,0.06729,0.04093,0.8772,4.14543,0.86775,0.000179456,0.000179456,0.000179456
4,36.4537,0.99406,3.5222,0.93199,0.04469,0.48566,0.10647,0.0738,0.81024,4.01785,0.85021,0.00024013,0.00024013,0.00024013
5,40.6753,0.95662,3.15764,0.92262,0.06338,0.63661,0.16672,0.11915,0.81464,3.90244,0.85939,0.000300186,0.000300186,0.000300186
6,44.1589,0.96866,2.74603,0.92887,0.08149,0.7068,0.27801,0.20813,0.81774,3.76127,0.87638,0.000359623,0.000359623,0.000359623
7,47.2734,0.98034,2.49133,0.93087,0.09423,0.78325,0.34869,0.26605,0.83302,3.62344,0.88963,0.000418442,0.000418442,0.000418442
8,50.1534,0.95236,2.20296,0.91971,0.09816,0.86569,0.41087,0.31503,0.8623,3.32816,0.88311,0.000476642,0.000476642,0.000476642
9,54.2193,0.94826,1.91698,0.93955,0.7429,0.28228,0.46875,0.3532,0.848,2.81168,0.90102,0.000534222,0.000534222,0.000534222
10,57.785,0.92666,1.74367,0.91621,0.68307,0.42908,0.50311,0.3983,0.80426,2.08615,0.90038,0.000591185,0.000591185,0.000591185
11,60.7611,0.92264,1.61038,0.90901,0.56558,0.46693,0.57494,0.45333,0.80573,1.85612,0.89367,0.000594062,0.000594062,0.000594062
12,63.8075,0.89141,1.45933,0.9005,0.59067,0.56636,0.60051,0.46354,0.8188,1.37938,0.89742,0.000590969,0.000590969,0.000590969
13,67.4738,0.88174,1.32665,0.89912,0.61745,0.62542,0.63159,0.50498,0.76611,1.1747,0.88985,0.000587875,0.000587875,0.000587875
14,71.4406,0.84954,1.20061,0.89967,0.54366,0.6404,0.64483,0.49649,0.80185,1.07969,0.88348,0.000584781,0.000584781,0.000584781
15,74.3107,0.83461,1.13555,0.88908,0.56438,0.70957,0.67573,0.53971,0.78775,0.96886,0.89028,0.000581687,0.000581687,0.000581687
16,77.4117,0.81745,1.07424,0.88641,0.59247,0.65665,0.67979,0.54288,0.74347,0.90145,0.88603,0.000578594,0.000578594,0.000578594
17,80.5927,0.81931,1.03216,0.88779,0.61696,0.68511,0.70581,0.55571,0.76362,0.89948,0.88328,0.0005755,0.0005755,0.0005755
18,84.8625,0.85939,1.02935,0.89444,0.6349,0.66885,0.71418,0.57473,0.73018,0.85064,0.88158,0.000572406,0.000572406,0.000572406
19,87.9198,0.81837,0.99941,0.88341,0.577,0.78546,0.7009,0.56083,0.76557,0.8146,0.8886,0.000569313,0.000569313,0.000569313
20,90.8927,0.81707,0.93505,0.88894,0.66074,0.77771,0.75326,0.62045,0.72402,0.79115,0.88032,0.000566219,0.000566219,0.000566219
21,93.8563,0.81943,0.92206,0.88145,0.70441,0.78099,0.77821,0.62062,0.82696,0.78514,0.9026,0.000563125,0.000563125,0.000563125
22,98.4368,0.80105,0.90447,0.88213,0.73014,0.83041,0.81139,0.66044,0.7142,0.73657,0.87414,0.000560031,0.000560031,0.000560031
23,101.461,0.80266,0.89248,0.87859,0.70457,0.84827,0.82048,0.67087,0.72112,0.74029,0.87725,0.000556938,0.000556938,0.000556938
24,104.405,0.7914,0.87773,0.88502,0.75569,0.83474,0.83393,0.68993,0.69462,0.73767,0.87252,0.000553844,0.000553844,0.000553844
25,107.449,0.76936,0.86123,0.88085,0.76916,0.81894,0.85361,0.70162,0.71257,0.7128,0.87443,0.00055075,0.00055075,0.00055075
26,111.726,0.75555,0.81114,0.87527,0.73981,0.81829,0.85185,0.69182,0.70147,0.70572,0.87263,0.000547656,0.000547656,0.000547656
27,115.022,0.7481,0.80171,0.86484,0.79348,0.80258,0.84762,0.68543,0.71134,0.68496,0.87485,0.000544563,0.000544563,0.000544563
28,118.024,0.76489,0.8028,0.87029,0.80001,0.81101,0.85686,0.7054,0.68965,0.66967,0.87277,0.000541469,0.000541469,0.000541469
29,121.019,0.75572,0.79199,0.8633,0.84821,0.8017,0.86664,0.71164,0.71734,0.68203,0.88111,0.000538375,0.000538375,0.000538375
30,124.961,0.75371,0.77129,0.86837,0.81066,0.84468,0.87209,0.72795,0.66957,0.65918,0.87312,0.000535281,0.000535281,0.000535281
31,128.599,0.74833,0.75294,0.86454,0.86283,0.83412,0.8861,0.73305,0.7115,0.62999,0.87555,0.000532187,0.000532187,0.000532187
32,131.585,0.74426,0.74448,0.87638,0.82837,0.86925,0.89258,0.74747,0.66532,0.61722,0.86641,0.000529094,0.000529094,0.000529094
33,134.534,0.7517,0.75242,0.86606,0.90861,0.84576,0.90221,0.74137,0.71435,0.61411,0.87392,0.000526,0.000526,0.000526
34,137.68,0.75542,0.73197,0.87411,0.89717,0.80677,0.88491,0.72011,0.70334,0.60035,0.87084,0.000522906,0.000522906,0.000522906
35,142.012,0.72449,0.69262,0.86723,0.90468,0.8294,0.89595,0.74531,0.68644,0.59246,0.8682,0.000519812,0.000519812,0.000519812
36,145.03,0.74165,0.71262,0.86804,0.87843,0.84766,0.89613,0.73672,0.70641,0.61918,0.87532,0.000516719,0.000516719,0.000516719
37,147.927,0.73849,0.71242,0.8663,0.87685,0.83926,0.89379,0.74552,0.68487,0.58587,0.87105,0.000513625,0.000513625,0.000513625
38,150.888,0.73634,0.70217,0.86709,0.86025,0.85689,0.89986,0.74663,0.67625,0.58498,0.86763,0.000510531,0.000510531,0.000510531
39,155.32,0.71822,0.68026,0.86591,0.8637,0.87589,0.90723,0.74924,0.70046,0.5844,0.87032,0.000507438,0.000507438,0.000507438
40,158.471,0.71223,0.68675,0.86061,0.91582,0.87266,0.91704,0.76227,0.67391,0.5693,0.86611,0.000504344,0.000504344,0.000504344
41,161.235,0.72547,0.67782,0.85926,0.91675,0.8826,0.92226,0.76753,0.69176,0.55089,0.86954,0.00050125,0.00050125,0.00050125
42,164.362,0.72116,0.66009,0.86538,0.86088,0.90519,0.92152,0.77474,0.65982,0.54676,0.86369,0.000498156,0.000498156,0.000498156
43,168.144,0.70522,0.64724,0.85441,0.89206,0.8841,0.92116,0.76184,0.7044,0.55904,0.86984,0.000495063,0.000495063,0.000495063
44,171.872,0.7165,0.66687,0.85679,0.91473,0.89028,0.93342,0.77259,0.68651,0.5391,0.86815,0.000491969,0.000491969,0.000491969
45,174.824,0.70243,0.65837,0.85495,0.94381,0.87561,0.9292,0.77594,0.66589,0.53112,0.86598,0.000488875,0.000488875,0.000488875
46,177.763,0.68777,0.6309,0.84833,0.91932,0.90012,0.92799,0.77255,0.67444,0.54033,0.86744,0.000485781,0.000485781,0.000485781
47,181.134,0.71078,0.65371,0.85555,0.91386,0.8947,0.92899,0.76609,0.68254,0.54118,0.86576,0.000482687,0.000482687,0.000482687
48,185.106,0.69542,0.62319,0.85787,0.93539,0.87714,0.93098,0.7652,0.68886,0.54556,0.86773,0.000479594,0.000479594,0.000479594
49,187.97,0.7011,0.62723,0.85876,0.92495,0.88831,0.93087,0.76478,0.68489,0.54185,0.86581,0.0004765,0.0004765,0.0004765
50,190.988,0.69617,0.6357,0.86027,0.92576,0.89476,0.93296,0.77299,0.67289,0.5269,0.86395,0.000473406,0.000473406,0.000473406
51,193.956,0.68576,0.61288,0.85777,0.94256,0.89801,0.93613,0.77225,0.6629,0.51067,0.86252,0.000470312,0.000470312,0.000470312
52,198.249,0.68892,0.61229,0.85358,0.94982,0.90362,0.9403,0.7802,0.67352,0.51042,0.86216,0.000467219,0.000467219,0.000467219
53,202.103,0.69752,0.63255,0.85141,0.9356,0.89521,0.94164,0.78152,0.67286,0.50697,0.86427,0.000464125,0.000464125,0.000464125
54,205.913,0.68429,0.62234,0.84883,0.95518,0.89117,0.94618,0.78235,0.66741,0.501,0.8622,0.000461031,0.000461031,0.000461031
55,209.461,0.67491,0.60832,0.85051,0.93491,0.91258,0.9494,0.7889,0.67154,0.50203,0.86283,0.000457938,0.000457938,0.000457938
56,213.295,0.67407,0.60383,0.85004,0.9497,0.89315,0.94199,0.78623,0.66595,0.50064,0.86367,0.000454844,0.000454844,0.000454844
57,216.352,0.67373,0.60349,0.84356,0.95714,0.89331,0.94331,0.78535,0.67613,0.50141,0.86493,0.00045175,0.00045175,0.00045175
58,219.251,0.68683,0.60453,0.85122,0.96599,0.89015,0.94291,0.77827,0.69082,0.50861,0.86822,0.000448656,0.000448656,0.000448656
59,222.317,0.68033,0.60055,0.85814,0.96005,0.89975,0.94576,0.78254,0.66349,0.49469,0.8625,0.000445562,0.000445562,0.000445562
60,226.784,0.67168,0.59927,0.85818,0.94149,0.91399,0.9504,0.78297,0.68653,0.49594,0.86466,0.000442469,0.000442469,0.000442469
61,229.859,0.67788,0.59371,0.85187,0.93463,0.91717,0.95312,0.78019,0.70637,0.50125,0.87023,0.000439375,0.000439375,0.000439375
62,232.807,0.67263,0.59967,0.84321,0.96097,0.91168,0.96658,0.7954,0.67189,0.49187,0.8651,0.000436281,0.000436281,0.000436281
63,235.859,0.69754,0.60006,0.84814,0.96603,0.90865,0.96344,0.79151,0.67841,0.49873,0.86874,0.000433187,0.000433187,0.000433187
64,240.212,0.67918,0.588,0.84693,0.94329,0.93208,0.9628,0.79326,0.67983,0.49555,0.86745,0.000430094,0.000430094,0.000430094
65,243.453,0.67106,0.58584,0.84436,0.98081,0.91343,0.96045,0.79979,0.66485,0.48115,0.86296,0.000427,0.000427,0.000427
66,246.521,0.65539,0.56068,0.85428,0.9552,0.89509,0.95589,0.79385,0.67192,0.48419,0.86385,0.000423906,0.000423906,0.000423906
67,249.589,0.64907,0.56091,0.84353,0.95551,0.90319,0.95558,0.7935,0.66315,0.4926,0.86223,0.000420812,0.000420812,0.000420812
68,253.552,0.66094,0.56707,0.84834,0.9587,0.90192,0.953,0.79159,0.66845,0.49239,0.86765,0.000417719,0.000417719,0.000417719
69,257.061,0.65578,0.54685,0.84854,0.95845,0.90775,0.95423,0.79289,0.66546,0.48574,0.86261,0.000414625,0.000414625,0.000414625
70,260.193,0.65664,0.56663,0.85261,0.98157,0.91602,0.95843,0.7928,0.67751,0.4886,0.86459,0.000411531,0.000411531,0.000411531
71,263.304,0.64858,0.55032,0.84484,0.96337,0.91992,0.95814,0.80002,0.66798,0.47432,0.86249,0.000408438,0.000408438,0.000408438
72,267.208,0.64665,0.54495,0.84372,0.93444,0.93445,0.96213,0.80677,0.67571,0.47388,0.86316,0.000405344,0.000405344,0.000405344
73,270.809,0.67233,0.5706,0.84,0.96214,0.9193,0.95789,0.79573,0.67912,0.47829,0.8629,0.00040225,0.00040225,0.00040225
74,273.753,0.67341,0.55248,0.84431,0.90775,0.91819,0.95425,0.77207,0.71902,0.49835,0.86761,0.000399156,0.000399156,0.000399156
75,276.76,0.63618,0.52453,0.83838,0.96695,0.91531,0.95599,0.79459,0.66633,0.47357,0.86113,0.000396063,0.000396063,0.000396063
76,279.961,0.64384,0.53604,0.84748,0.96645,0.92735,0.95774,0.79291,0.68725,0.47288,0.86338,0.000392969,0.000392969,0.000392969
77,284.18,0.64101,0.53635,0.84474,0.96113,0.92545,0.95611,0.79877,0.66098,0.46726,0.85943,0.000389875,0.000389875,0.000389875
78,287.177,0.64197,0.54141,0.84623,0.9585,0.91223,0.95413,0.77772,0.72745,0.48355,0.8709,0.000386781,0.000386781,0.000386781
79,290.172,0.66552,0.53553,0.84465,0.95617,0.90953,0.95109,0.78396,0.67737,0.47596,0.86341,0.000383688,0.000383688,0.000383688
80,293.225,0.66851,0.52948,0.85118,0.95348,0.9265,0.95268,0.79433,0.66742,0.48031,0.86238,0.000380594,0.000380594,0.000380594
81,297.625,0.64078,0.53067,0.84102,0.93651,0.9265,0.9504,0.78941,0.69094,0.47646,0.86614,0.0003775,0.0003775,0.0003775
82,300.722,0.63359,0.53561,0.84754,0.92566,0.94019,0.95496,0.79594,0.66436,0.4688,0.86135,0.000374406,0.000374406,0.000374406
83,303.815,0.6301,0.52132,0.83694,0.97777,0.90423,0.95799,0.78577,0.70514,0.47804,0.86706,0.000371313,0.000371313,0.000371313
84,306.699,0.63764,0.53286,0.84724,0.94035,0.92845,0.95707,0.79452,0.66986,0.47643,0.86588,0.000368219,0.000368219,0.000368219
85,311.082,0.62172,0.52687,0.84262,0.94365,0.93305,0.95533,0.78482,0.68137,0.4706,0.86481,0.000365125,0.000365125,0.000365125
