epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5528,0.80006,1.7317,0.8896,0.88782,0.86511,0.92335,0.72654,0.85646,0.66163,0.863,0.000193846,0.000193846,0.000193846
2,69.7992,0.57195,0.58292,0.81923,0.97922,0.96169,0.98633,0.8086,0.74976,0.4277,0.84495,0.000385987,0.000385987,0.000385987
3,91.3475,0.53445,0.47045,0.811,0.96668,0.96521,0.98637,0.81889,0.70496,0.41527,0.83695,0.000574246,0.000574246,0.000574246
4,112.593,0.50099,0.41434,0.80644,0.98569,0.97707,0.9902,0.82089,0.7156,0.36814,0.84171,0.000570536,0.000570536,0.000570536
5,133.883,0.47204,0.37729,0.80112,0.98688,0.98164,0.9907,0.81004,0.75811,0.36389,0.85022,0.000564715,0.000564715,0.000564715
6,155.088,0.46127,0.36105,0.80041,0.98604,0.97718,0.99041,0.81421,0.75017,0.36249,0.8456,0.000558894,0.000558894,0.000558894
7,175.988,0.44767,0.34375,0.79856,0.98906,0.97963,0.99152,0.83996,0.66269,0.32911,0.83327,0.000553073,0.000553073,0.000553073
8,197.636,0.44706,0.33809,0.79697,0.98826,0.97939,0.99181,0.82304,0.73018,0.34673,0.84207,0.000547252,0.000547252,0.000547252
9,218.775,0.43179,0.32122,0.79582,0.99115,0.97825,0.99217,0.82507,0.7302,0.34078,0.84287,0.00054143,0.00054143,0.00054143
10,239.936,0.4362,0.32261,0.79594,0.99064,0.98155,0.99038,0.83304,0.68511,0.3214,0.83569,0.000535609,0.000535609,0.000535609
11,261.069,0.42497,0.31774,0.79409,0.99008,0.98448,0.99245,0.80873,0.78768,0.36092,0.84878,0.000529788,0.000529788,0.000529788
12,282.368,0.42158,0.31064,0.79266,0.99221,0.98764,0.99286,0.82968,0.71731,0.32468,0.8374,0.000523967,0.000523967,0.000523967
13,303.586,0.41568,0.304,0.79124,0.98389,0.98075,0.99161,0.82088,0.7334,0.33652,0.84223,0.000518146,0.000518146,0.000518146
14,324.637,0.40355,0.29451,0.79126,0.99649,0.98574,0.99343,0.83405,0.6992,0.3148,0.83995,0.000512324,0.000512324,0.000512324
15,346.113,0.40963,0.29787,0.79214,0.98997,0.98276,0.99292,0.83486,0.70761,0.32298,0.83898,0.000506503,0.000506503,0.000506503
16,367.524,0.40202,0.2907,0.7901,0.99218,0.98668,0.99342,0.83824,0.68845,0.30788,0.83866,0.000500682,0.000500682,0.000500682
17,389.223,0.42282,0.29691,0.79204,0.99588,0.98959,0.99393,0.81084,0.81343,0.33266,0.85609,0.000494861,0.000494861,0.000494861
18,411.247,0.41066,0.28859,0.79167,0.99388,0.98767,0.99372,0.83013,0.717,0.30733,0.84118,0.00048904,0.00048904,0.00048904
19,432.876,0.38897,0.27956,0.78799,0.99518,0.98469,0.99352,0.83222,0.72446,0.31673,0.8418,0.000483218,0.000483218,0.000483218
20,454.392,0.39177,0.27981,0.78928,0.99357,0.99,0.99359,0.84678,0.66253,0.29626,0.83502,0.000477397,0.000477397,0.000477397
21,476.077,0.38138,0.27016,0.78753,0.99278,0.98677,0.99377,0.84863,0.6552,0.29827,0.83157,0.000471576,0.000471576,0.000471576
22,497.68,0.38688,0.27792,0.79002,0.99505,0.98912,0.99351,0.84513,0.69271,0.30179,0.83799,0.000465755,0.000465755,0.000465755
23,519.085,0.3815,0.27387,0.78767,0.99353,0.98908,0.99322,0.84579,0.67191,0.30114,0.83292,0.000459934,0.000459934,0.000459934
24,540.429,0.38069,0.26802,0.78784,0.99173,0.98881,0.99295,0.82659,0.75802,0.31185,0.84888,0.000454112,0.000454112,0.000454112
25,561.691,0.38787,0.27042,0.7896,0.99083,0.98841,0.99351,0.81342,0.79922,0.32872,0.8557,0.000448291,0.000448291,0.000448291
26,582.859,0.39003,0.26844,0.78732,0.99589,0.98834,0.99399,0.86118,0.63124,0.28681,0.82741,0.00044247,0.00044247,0.00044247
27,604.246,0.37188,0.26005,0.78733,0.9927,0.9894,0.99343,0.83629,0.72086,0.3036,0.84135,0.000436649,0.000436649,0.000436649
28,625.719,0.36914,0.25976,0.78621,0.99143,0.99142,0.99368,0.85347,0.6655,0.3029,0.83435,0.000430828,0.000430828,0.000430828
29,646.861,0.3746,0.26045,0.78695,0.99389,0.99057,0.99409,0.8617,0.63357,0.28587,0.83019,0.000425006,0.000425006,0.000425006
30,668.205,0.36341,0.25651,0.78671,0.99412,0.98738,0.99359,0.83692,0.72238,0.30813,0.84606,0.000419185,0.000419185,0.000419185
31,689.443,0.36699,0.26175,0.78675,0.99307,0.99283,0.994,0.85339,0.65938,0.28808,0.83491,0.000413364,0.000413364,0.000413364
32,710.783,0.36692,0.26169,0.78534,0.99591,0.98976,0.99427,0.83165,0.74315,0.30683,0.84657,0.000407543,0.000407543,0.000407543
33,731.866,0.3619,0.25368,0.7866,0.99546,0.99147,0.99407,0.84866,0.67997,0.28608,0.83955,0.000401722,0.000401722,0.000401722
34,753.394,0.35188,0.24674,0.78429,0.99451,0.99071,0.99453,0.8577,0.66085,0.2859,0.83403,0.0003959,0.0003959,0.0003959
35,774.526,0.35361,0.24967,0.7859,0.98288,0.98391,0.99212,0.85369,0.65,0.29765,0.82989,0.000390079,0.000390079,0.000390079
36,795.707,0.36925,0.25287,0.78725,0.99515,0.99281,0.99443,0.81695,0.80057,0.31394,0.85963,0.000384258,0.000384258,0.000384258
37,816.988,0.36577,0.24866,0.78535,0.99505,0.98988,0.99426,0.85337,0.66569,0.28214,0.83612,0.000378437,0.000378437,0.000378437
38,838.294,0.36164,0.24891,0.786,0.9953,0.98985,0.994,0.85229,0.67867,0.28554,0.8351,0.000372616,0.000372616,0.000372616
39,859.658,0.35359,0.24749,0.78553,0.99045,0.98877,0.99414,0.84327,0.7099,0.2994,0.83905,0.000366794,0.000366794,0.000366794
40,880.99,0.35291,0.24564,0.78391,0.99628,0.9892,0.99424,0.83448,0.73667,0.29561,0.84664,0.000360973,0.000360973,0.000360973
41,902.731,0.35038,0.24274,0.78444,0.99343,0.98854,0.99453,0.84053,0.73234,0.30629,0.8492,0.000355152,0.000355152,0.000355152
42,924.255,0.3475,0.23978,0.78363,0.99537,0.99278,0.99458,0.84795,0.68879,0.28281,0.83918,0.000349331,0.000349331,0.000349331
43,945.507,0.35551,0.24229,0.78428,0.99531,0.99194,0.99482,0.84735,0.69374,0.29056,0.84081,0.00034351,0.00034351,0.00034351
44,966.75,0.3468,0.24216,0.78442,0.99376,0.98851,0.99454,0.85632,0.64932,0.2766,0.83265,0.000337688,0.000337688,0.000337688
45,988.043,0.3493,0.24191,0.78561,0.99334,0.9939,0.99461,0.85354,0.67441,0.28057,0.83824,0.000331867,0.000331867,0.000331867
46,1009.25,0.34106,0.23755,0.78209,0.9928,0.99051,0.99463,0.85622,0.65859,0.28015,0.83602,0.000326046,0.000326046,0.000326046
47,1030.82,0.34308,0.23513,0.78383,0.99157,0.99128,0.99437,0.84911,0.6897,0.28648,0.84186,0.000320225,0.000320225,0.000320225
48,1051.81,0.33904,0.23134,0.78386,0.9946,0.98935,0.99449,0.84926,0.68639,0.28604,0.83747,0.000314404,0.000314404,0.000314404
49,1072.93,0.3289,0.22865,0.78273,0.99634,0.99185,0.99458,0.84745,0.70338,0.28495,0.84103,0.000308582,0.000308582,0.000308582
50,1094.04,0.33272,0.22955,0.78339,0.98905,0.98794,0.99365,0.83784,0.71297,0.29407,0.84173,0.000302761,0.000302761,0.000302761
51,1115.16,0.33334,0.23271,0.78269,0.99727,0.99351,0.99475,0.85687,0.65947,0.27566,0.83404,0.00029694,0.00029694,0.00029694
52,1136.52,0.33458,0.22932,0.78341,0.9954,0.99347,0.99483,0.85035,0.67392,0.2774,0.83679,0.000291119,0.000291119,0.000291119
53,1157.62,0.33232,0.22996,0.78451,0.99526,0.99383,0.99482,0.83826,0.72895,0.28842,0.84715,0.000285298,0.000285298,0.000285298
54,1179.05,0.32221,0.22299,0.78239,0.99402,0.99583,0.99494,0.84203,0.72046,0.29065,0.8466,0.000279476,0.000279476,0.000279476
55,1200.27,0.32582,0.22339,0.78108,0.99214,0.99462,0.99481,0.8638,0.62542,0.26325,0.8285,0.000273655,0.000273655,0.000273655
56,1221.53,0.32087,0.22277,0.78329,0.99124,0.99638,0.99484,0.85675,0.66611,0.27292,0.83754,0.000267834,0.000267834,0.000267834
57,1242.65,0.32645,0.2265,0.78358,0.99351,0.99195,0.99482,0.84395,0.71002,0.28279,0.84243,0.000262013,0.000262013,0.000262013
58,1263.77,0.31758,0.21948,0.78185,0.99484,0.9938,0.99481,0.85268,0.67859,0.27365,0.83715,0.000256192,0.000256192,0.000256192
59,1284.89,0.33123,0.22825,0.78282,0.99584,0.99534,0.99486,0.85502,0.66657,0.27194,0.83671,0.00025037,0.00025037,0.00025037
60,1306.11,0.30979,0.2155,0.78074,0.99529,0.99463,0.9948,0.85035,0.68988,0.27327,0.83885,0.000244549,0.000244549,0.000244549
61,1327.55,0.31385,0.21656,0.7816,0.99452,0.99426,0.99459,0.84271,0.71057,0.2819,0.84267,0.000238728,0.000238728,0.000238728
62,1348.8,0.31262,0.21525,0.78044,0.99369,0.99107,0.99444,0.85987,0.64954,0.26759,0.83579,0.000232907,0.000232907,0.000232907
63,1370.02,0.31124,0.21499,0.78116,0.99323,0.99405,0.99478,0.84581,0.7043,0.27825,0.84296,0.000227086,0.000227086,0.000227086
64,1391.38,0.30995,0.21512,0.78091,0.9977,0.9924,0.99489,0.85635,0.66406,0.26965,0.83732,0.000221264,0.000221264,0.000221264
65,1412.77,0.31823,0.21948,0.78126,0.99715,0.99205,0.9947,0.84528,0.69776,0.2771,0.84128,0.000215443,0.000215443,0.000215443
66,1434.34,0.31146,0.21418,0.78071,0.99537,0.99125,0.99485,0.84208,0.72151,0.28282,0.84599,0.000209622,0.000209622,0.000209622
67,1455.95,0.30426,0.20998,0.77925,0.99353,0.99216,0.99451,0.85296,0.68021,0.27303,0.83663,0.000203801,0.000203801,0.000203801
68,1477.32,0.30305,0.20915,0.78011,0.99469,0.99196,0.99463,0.85255,0.6763,0.27612,0.83873,0.00019798,0.00019798,0.00019798
69,1498.48,0.3065,0.2095,0.78078,0.99236,0.99247,0.99479,0.85266,0.68735,0.27422,0.83801,0.000192158,0.000192158,0.000192158
70,1519.63,0.30416,0.20913,0.78089,0.99461,0.99015,0.99461,0.84822,0.69472,0.2774,0.84231,0.000186337,0.000186337,0.000186337
71,1540.69,0.29849,0.20437,0.77958,0.99187,0.99167,0.99427,0.85257,0.68001,0.2741,0.83829,0.000180516,0.000180516,0.000180516
72,1561.95,0.29754,0.20468,0.77941,0.99292,0.9923,0.99491,0.85482,0.67733,0.26987,0.83813,0.000174695,0.000174695,0.000174695
73,1583.37,0.30372,0.2095,0.78077,0.9962,0.99399,0.99465,0.85227,0.69328,0.27446,0.84059,0.000168874,0.000168874,0.000168874
74,1604.45,0.29156,0.20003,0.77767,0.99684,0.99165,0.99479,0.85615,0.67551,0.27109,0.83779,0.000163052,0.000163052,0.000163052
75,1625.79,0.29947,0.20701,0.77884,0.99558,0.99149,0.99469,0.84731,0.69727,0.27822,0.84244,0.000157231,0.000157231,0.000157231
76,1647.1,0.30401,0.20708,0.78034,0.99643,0.99009,0.9943,0.84218,0.72254,0.28066,0.84499,0.00015141,0.00015141,0.00015141
77,1668.34,0.29551,0.19986,0.78045,0.99569,0.99302,0.99479,0.8576,0.66565,0.26728,0.83541,0.000145589,0.000145589,0.000145589
78,1689.74,0.29491,0.20216,0.77984,0.99615,0.99447,0.99487,0.85217,0.69109,0.27075,0.83937,0.000139768,0.000139768,0.000139768
79,1711.23,0.29461,0.20281,0.77949,0.99609,0.99313,0.99439,0.84934,0.69625,0.27234,0.84166,0.000133946,0.000133946,0.000133946
80,1733.05,0.29077,0.19945,0.77892,0.99566,0.99566,0.99473,0.86198,0.65524,0.26258,0.83351,0.000128125,0.000128125,0.000128125
81,1754.66,0.29414,0.20243,0.77903,0.99724,0.99333,0.99473,0.85875,0.66042,0.26356,0.83601,0.000122304,0.000122304,0.000122304
82,1776.35,0.28664,0.19646,0.77875,0.99624,0.99457,0.99488,0.85615,0.68207,0.26772,0.838,0.000116483,0.000116483,0.000116483
83,1797.79,0.28936,0.19768,0.77927,0.99455,0.99508,0.99491,0.84997,0.6987,0.27178,0.84297,0.000110662,0.000110662,0.000110662
84,1819.35,0.27999,0.19309,0.77786,0.99634,0.99365,0.99492,0.85545,0.68566,0.26971,0.83864,0.00010484,0.00010484,0.00010484
85,1841.06,0.28639,0.19665,0.77907,0.9948,0.99697,0.99495,0.86001,0.67244,0.26381,0.83582,9.90192e-05,9.90192e-05,9.90192e-05
86,1863.32,0.28436,0.19555,0.77756,0.9967,0.99483,0.99493,0.85524,0.6823,0.26814,0.83842,9.3198e-05,9.3198e-05,9.3198e-05
87,1885.89,0.27968,0.19182,0.77741,0.99694,0.9957,0.99491,0.85409,0.69287,0.26719,0.84193,8.73768e-05,8.73768e-05,8.73768e-05
