epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8004,1.35134,4.19699,1.16325,0.24429,0.33914,0.13166,0.10419,0.85925,3.15034,0.95068,5.625e-05,5.625e-05,5.625e-05
2,20.7682,0.9671,2.25358,0.96711,0.27039,0.59439,0.27505,0.21703,0.79279,4.21698,0.91775,0.000118162,0.000118162,0.000118162
3,25.098,0.88784,1.45572,0.93361,0.44147,0.53778,0.50859,0.40363,0.79978,1.77124,0.90888,0.000179456,0.000179456,0.000179456
4,29.0201,0.87454,1.14999,0.91522,0.60523,0.74194,0.71818,0.57877,0.76109,1.34895,0.90588,0.00024013,0.00024013,0.00024013
5,34.7725,0.80118,0.95487,0.89229,0.73871,0.74041,0.78578,0.65001,0.71559,0.88573,0.88817,0.000300186,0.000300186,0.000300186
6,38.4411,0.80472,0.8356,0.88776,0.71211,0.82446,0.82929,0.68507,0.69638,0.80259,0.87157,0.000359623,0.000359623,0.000359623
7,42.117,0.79554,0.7809,0.88583,0.7995,0.83766,0.87639,0.71228,0.73505,0.76953,0.89019,0.000418442,0.000418442,0.000418442
8,47.0527,0.76625,0.69867,0.87296,0.66266,0.82456,0.82366,0.66058,0.71802,0.82877,0.89231,0.000476642,0.000476642,0.000476642
9,50.5851,0.77095,0.67811,0.88207,0.87418,0.84471,0.91809,0.76758,0.6793,0.6102,0.85487,0.000534222,0.000534222,0.000534222
10,54.1517,0.74175,0.624,0.86201,0.88128,0.86975,0.90973,0.74964,0.69795,0.60471,0.87633,0.000591185,0.000591185,0.000591185
11,57.8911,0.74583,0.61292,0.86655,0.84534,0.90008,0.90586,0.7469,0.68836,0.5574,0.87079,0.000594062,0.000594062,0.000594062
12,62.4284,0.73555,0.58214,0.86078,0.87411,0.86725,0.92471,0.7538,0.71152,0.55862,0.86999,0.000590969,0.000590969,0.000590969
13,65.964,0.72338,0.56855,0.86031,0.9361,0.88381,0.9582,0.7942,0.68072,0.47404,0.86105,0.000587875,0.000587875,0.000587875
14,69.8383,0.72321,0.53914,0.86375,0.94549,0.90336,0.95779,0.79134,0.67947,0.48007,0.85869,0.000584781,0.000584781,0.000584781
15,74.2523,0.73217,0.52399,0.86205,0.94063,0.89749,0.96076,0.79322,0.70111,0.46371,0.8643,0.000581687,0.000581687,0.000581687
16,78.0827,0.71378,0.51736,0.85841,0.95443,0.87675,0.9631,0.81185,0.64722,0.48185,0.85806,0.000578594,0.000578594,0.000578594
17,82.2164,0.72469,0.51085,0.86098,0.95124,0.88467,0.96,0.80376,0.66373,0.46107,0.86387,0.0005755,0.0005755,0.0005755
18,86.2003,0.72875,0.50633,0.86222,0.93946,0.90713,0.96223,0.80128,0.6682,0.44264,0.85958,0.000572406,0.000572406,0.000572406
19,90.5737,0.69077,0.47905,0.85504,0.93244,0.86753,0.95755,0.80547,0.6477,0.4396,0.85525,0.000569313,0.000569313,0.000569313
20,94.1504,0.68265,0.47043,0.85956,0.93015,0.89815,0.95088,0.79848,0.66081,0.44297,0.85767,0.000566219,0.000566219,0.000566219
21,97.7493,0.68313,0.45715,0.85282,0.90932,0.91813,0.95233,0.79593,0.66017,0.43484,0.86065,0.000563125,0.000563125,0.000563125
22,102.333,0.66583,0.45383,0.85085,0.95218,0.92482,0.96298,0.80903,0.68004,0.42465,0.85629,0.000560031,0.000560031,0.000560031
23,106.02,0.6772,0.45099,0.84758,0.94748,0.91186,0.9603,0.79862,0.68699,0.40904,0.8634,0.000556938,0.000556938,0.000556938
24,109.75,0.68206,0.45938,0.85668,0.92657,0.88358,0.95697,0.79963,0.66669,0.43881,0.8591,0.000553844,0.000553844,0.000553844
